"","D","mean.day","sd.day","N","se.day","CL95.day"
"272",27500000,2687.15950399927,123.948308346787,16,30.9870770866966,54.0998320611774
"273",27650000,2681.33957501424,124.110989551088,17,30.101336424651,52.3644873081715
"274",27800000,2703.82807314796,136.72793002724,17,33.1613939690806,57.6877839946379
"275",27950000,2710.63017594558,142.841368275029,16,35.7103420687572,62.3461032920843
"276",28100000,2720.49923097814,143.525150875974,16,35.8812877189935,62.6445545123622
"277",28250000,2701.75113214069,137.14043943161,15,35.4095092006795,62.0746526991507
"278",28400000,2642.63418465307,127.283044726184,15,32.8643408319389,57.6128443850323
"279",28550000,2627.13876365987,113.008552593817,15,29.1786828116571,51.1517002816163
"280",28700000,2751.41072882705,98.5539665154201,15,25.4465247344604,44.6090392368856
"281",28850000,2791.77680796604,93.2421375421622,15,24.0750163910384,42.2047160476143
"282",2.9e+07,2687.13211188123,63.7481022529359,15,16.4596892251965,28.85466405082
"283",29150000,2544.83224780943,46.4322591507055,15,11.9887577611646,21.0168960575217
"284",29300000,2564.50962167396,45.2643457144637,15,11.6872038086062,20.4882567937287
"285",29450000,2614.95015159399,56.1873751635065,16,14.0468437908766,24.5241552776939
"286",29600000,2654.24859780031,58.2008794613887,16,14.5502198653472,25.40299134914
"287",29750000,2634.544010137,60.8070992715287,16,15.2017748178822,26.5405305049678
"288",29900000,2627.84273127791,69.3244376126559,16,17.331109403164,30.2581009987418
"289",30050000,2629.77964167114,81.001203866516,16,20.250300966629,35.3546698973187
"290",30200000,2635.4220144284,94.1604783477006,16,23.5401195869252,41.0983105244034
"291",30350000,2648.25652446149,106.398214381003,17,25.8053574276462,44.8911733499047
"292",30500000,2645.0432440894,122.910421801542,17,29.8101559751164,51.8579478396595
"293",30650000,2658.46706901024,136.248692188429,17,33.0451617203037,57.4855855928788
"294",30800000,2662.48660315235,147.158811298656,17,35.6912542779234,62.0887460039312
"295",30950000,2676.46637020004,152.701588393622,17,37.0355751850879,64.427335696038
"296",31100000,2688.65854310364,152.669590067005,17,37.0278144509418,64.4138350707181
"297",31250000,2682.85008620264,146.021526808413,18,34.4176039351475,59.6823144109158
"298",31400000,2698.33410644823,136.09852051805,18,32.0787289225898,55.6265563712125
"299",31550000,2663.66095285041,119.159590879537,18,28.0861849181117,48.7032311152279
"300",31700000,2538.64380668265,93.302558037042,18,21.9916238300146,38.1348745340513
"301",31850000,2648.70447483497,69.3689042173611,18,16.3504075251921,28.3526466428011
"302",3.2e+07,2684.59005091793,53.4284416761648,18,12.593204472482,21.8374175664243
"303",32150000,2663.89637769842,44.0656903563194,18,10.3863828228734,18.0106484575422
"304",32300000,2657.27188290207,36.680827380632,18,8.64575392679269,14.9922872362219
"305",32450000,2660.31495879544,38.9850969256755,18,9.18887546711998,15.9340945332735
"306",32600000,2664.2198448183,45.6392525460525,18,10.7572749878664,18.6537990628362
"307",32750000,2673.39124401949,46.4862707805481,18,10.9569191003332,18.9999946525404
"308",32900000,2682.71264605121,47.2922647800814,18,11.1468937078884,19.3294227056834
"309",33050000,2688.89697005435,49.5855759634807,18,11.687432337606,20.2667510714475
