"","D","mean.GR","sd.GR","N","se.GR","CL95.GR"
"191",19200000,11076.9094317952,10448.5727040911,17,2534.1511115243,4408.42631849829
"192",19300000,3156.17193143272,10730.1127997364,17,2602.43461459442,4527.21275971903
"193",19400000,6224.76825103663,12023.1386242708,17,2916.039441136,5072.76182530038
"194",19500000,7828.28057149616,15387.4750181917,17,3732.01087126807,6492.23121344323
"195",19600000,9089.10634191209,17001.7549963372,17,4123.53127475124,7173.32274073817
"196",19700000,56455.5268460357,18871.222230717,18,4447.98973620611,7713.09712416336
"197",19800000,22156.2138926575,21814.8834070302,18,5141.81732930166,8916.2383026174
"198",19900000,52791.6084545859,23248.9277229793,18,5479.82481607819,9502.36478420083
"199",2e+07,50031.6707978404,24069.6472837665,18,5673.27027170655,9837.81150867152
"200",20100000,47068.1022054157,24442.8244320157,18,5761.22896907684,9990.33748466683
"201",20200000,43870.6394475877,24203.9234276362,18,5704.91946233383,9892.69321831718
"202",20300000,16104.8453208716,22211.0057927972,18,5235.1842710202,9078.1425183127
"203",20400000,17110.3522872395,21642.7846976391,18,5101.25327448703,8845.8976514265
"204",20500000,32171.7359181298,20801.9691561401,18,4903.07115078002,8502.237243224
"205",20600000,15185.8338289426,18932.0389686371,19,4343.30761365596,7510.1557053031
"206",20700000,15163.0515376717,16504.7480002327,19,3786.44887482207,6547.27298860302
"207",20800000,14089.1323864535,15078.8222212167,19,3459.31906578416,5981.62210216883
"208",20900000,12741.2039921733,13783.5394396912,18,3248.81140218596,5633.64561729477
"209",2.1e+07,10305.1979171643,10234.983419282,19,2348.06623228762,4060.11836587388
"210",21100000,5089.68149830984,8099.79137762814,19,1858.21958309701,3213.1084521446
"211",21200000,5297.81955115422,8110.44463748778,19,1860.66360852582,3217.33449670575
"212",21300000,5769.02569703992,8041.61381385884,19,1844.87273461007,3190.02997849543
"213",21400000,11710.1353691977,8408.53308092817,19,1929.04978753603,3335.58328268688
"214",21500000,11712.8808978435,9137.12692400721,18,2153.64146950923,3734.55129397826
"215",21600000,11715.8600039377,9023.79742311896,18,2126.92944998037,3688.23095305402
"216",21700000,11718.8288759965,10237.9827259909,18,2413.11567040631,4184.49606261006
"217",21800000,11722.139214439,11810.4419646802,18,2783.74786734518,4827.19586676247
"218",21900000,11725.4443966735,12609.9432639876,18,2972.19213078109,5153.97020586252
"219",2.2e+07,11728.8856166835,13289.2696583706,18,3132.3108974835,5431.62633193766
"220",22100000,11732.5039245638,14043.3602357028,18,3310.05175110364,5739.84027760948
"221",22200000,11735.9955549915,14699.7774881628,18,3464.77078127109,6008.132917074
"222",22300000,11739.8558706998,15375.1973133419,18,3623.96876078175,6284.19233959049
"223",22400000,11743.3923973667,15339.9085737422,17,3720.47431393277,6472.16214070699
"224",22500000,11747.9155620115,15179.6959777248,17,3681.617051819,6404.56578617701
"225",22600000,11751.1047595424,12237.2831415559,17,2967.97711548385,5163.1129529326
"226",22700000,11773.1650051996,7217.30583760914,17,1750.45378240291,3045.10117355165
"227",22800000,17697.7782128062,4770.73880946316,17,1157.07411903824,2012.85392004631
"228",22900000,13861.6666212504,6489.03820037023,17,1573.82293581144,2737.83296478879
"229",2.3e+07,0.000561614271729184,9442.85298831266,16,2360.71324707816,4121.53072244287
"230",23100000,10640.7173178731,15472.0507268475,18,3646.79732927204,6323.77852940068
"231",23200000,10402.4285511693,14093.9754337737,18,3321.98186769934,5760.52785862078
"232",23300000,14085.9042036545,14920.6163283011,18,3516.82299507481,6098.39476667492
"233",23400000,16559.6961151034,15864.6299612389,18,3739.32914220244,6484.23457865763
"234",23500000,16278.3381272712,16482.4240446063,18,3884.94460411111,6736.74105171425
"235",23600000,16903.4721839135,17129.9817068777,18,4037.57540884492,7001.4125754519
"236",23700000,10638.0415261302,16565.4087276337,18,3904.50428147886,6770.65877639485
"237",23800000,10469.281336581,15380.401040222,19,3528.50599186608,6101.25548618538
"238",23900000,18566.8242803877,15775.8053142609,19,3619.21795357026,6258.10851556557
"239",2.4e+07,23273.24474563,16143.6220329115,19,3703.60089600937,6404.01783006975
"240",24100000,17555.9580123195,15935.9000346068,19,3655.94620132723,6321.61653387183
"241",24200000,7803.95753350413,13982.2106827319,19,3207.73912491175,5546.60697168574
"242",24300000,10611.0280736315,13420.3573750947,19,3078.84113601256,5323.72522974104
"243",24400000,10786.0088951433,13906.9515112238,19,3190.47348684973,5516.75239040087
"244",24500000,23720.6999364043,13938.0241153832,20,3116.63693940283,5375.32058594887
"245",24600000,25870.9166768515,12754.5182572628,20,2851.99698435018,4918.89122766383
"246",24700000,6049.32921403012,15157.5655615489,20,3389.33469690331,5845.64738311354
"247",24800000,0.546725896712661,8431.7183099512,20,1885.38953081805,3251.76571881376
"248",24900000,0.640378765045513,11924.9653411779,20,2666.50331322028,4598.96690911974
"249",2.5e+07,11112.2443715185,14934.2981887488,20,3339.41059462942,5759.54237316031
"250",25100000,11147.4494693066,17028.2563190786,20,3807.63386677502,6567.09559238989
"251",25200000,12424.0813724364,24089.0880862742,20,5386.48384768895,9290.16695730728
"252",25300000,11378.8272743581,28112.9484982117,20,6286.24638899521,10842.003826595
"253",25400000,11458.0318813031,30031.2117920981,20,6715.18310138247,11581.7987995077
"254",25500000,11584.217155686,31272.0301505418,20,6992.63852110344,12060.3312234977
"255",25600000,11710.9277684918,31865.8932926726,20,7125.43035661705,12289.359724719
"256",25700000,11853.9462032775,31906.1028572915,20,7134.4214886004,12304.8668940752
"257",25800000,12019.4944316956,31304.4659324279,20,6999.89138242351,12072.8403657298
"258",25900000,12256.3549537942,28915.6140374316,20,6465.72785988442,11151.5587937038
"259",2.6e+07,12405.4289133687,26238.444770789,20,5867.09461313581,10119.0851122176
"260",26100000,12485.860492673,24275.0657032136,20,5428.06970706592,9361.89084762229
"261",26200000,12656.5736656945,21406.5084779288,20,4786.64081175744,8255.60673034722
"262",26300000,12838.2221955604,18568.68831063,20,4152.08493155743,7161.17662761361
"263",26400000,13046.4815592803,15911.0588234698,20,3557.82091232762,6136.23863253653
"264",26500000,13326.2359748762,12545.9508089635,20,2805.35988512108,4838.45537182649
"265",26600000,13742.4758150797,9561.68086164722,20,2138.05683858019,3687.5456339008
